,n_hits,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_C_1_denoised1_swissprot.domtblout,379.0,0.9993687629882334,0.0606860158311345,1.0,0.9993687372439708,0.9996843686219854,0.2462675516781059,0.1144278606965174
hmmsearch_out_C_1_swissprot.domtblout,385.0,0.9993581241621924,0.0597402597402597,1.0,0.9993580979840376,0.9996790489920188,0.2443397477838969,0.1127450980392156
hmmsearch_out_C_3_denoised1_uniref90.domtblout,310.0,0.999491109487705,0.0741935483870967,1.0,0.999491088733201,0.9997455443666006,0.2723156081725739,0.1381381381381381
hmmsearch_out_C_3_uniref90.domtblout,309.0,0.9994928826253786,0.0744336569579288,1.0,0.99949286194319,0.9997464309715948,0.272756134335743,0.1385542168674698
hmmsearch_out_C_4_denoised1_uniref90.domtblout,218.0,0.9996506918783202,0.1009174311926605,0.9565217391304348,0.999652450842186,0.9780870949863104,0.3106331388320796,0.1825726141078838
hmmsearch_out_C_4_uniref90.domtblout,229.0,0.9996311873639117,0.0960698689956331,0.9565217391304348,0.9996329455323087,0.9780773423313718,0.3030774805433849,0.1746031746031746
HMM_reference_search.domtblout,694.0,0.9988102246210804,0.0331412103746397,1.0,0.998810176097484,0.999405088048742,0.1819389407751339,0.0641562064156206
hmmsearch_out_M_1.domtblout,333.0,0.9994503273212144,0.069069069069069,1.0,0.9994503049034577,0.9997251524517288,0.2627377059739981,0.1292134831460674
hmmsearch_out_M_4_denoised1_uniref90.domtblout,212.0,0.9996613307043613,0.1037735849056603,0.9565217391304348,0.9996630901021192,0.978092414616277,0.3150000499634217,0.1872340425531914
hmmsearch_out_M_4_uniref90.domtblout,224.0,0.9996400530522792,0.0982142857142857,0.9565217391304348,0.999641811582253,0.978081775356344,0.3064428561347333,0.1781376518218623
hmmsearch_out_O_1.domtblout,352.0,0.999413091430071,0.0625,0.9565217391304348,0.9994148407036808,0.9779682899170578,0.2444265537413621,0.1173333333333333
hmmsearch_out_O_4_denoised1_uniref90.domtblout,224.0,0.9996400530522792,0.0982142857142857,0.9565217391304348,0.999641811582253,0.978081775356344,0.3064428561347333,0.1781376518218623
hmmsearch_out_O_4_uniref90.domtblout,234.0,0.9996223216755442,0.094017094017094,0.9565217391304348,0.9996240794823644,0.9780729093063996,0.2998205383903344,0.1712062256809338
out_psiblast_C_1_denoised1_swissprot_1iterations.xml,157.0,0.9997588532764038,0.1401273885350318,0.9565217391304348,0.9997606166515056,0.9781411778909704,0.3660596305595816,0.2444444444444444
out_psiblast_C_1_denoised1_swissprot_2iterations.xml,540.0,0.9990832878227998,0.0425925925925925,1.0,0.9990832504357664,0.9995416252178831,0.2062851081680249,0.0817051509769094
out_psiblast_C_1_denoised1_swissprot_3iterations.xml,657.0,0.998875830715,0.0350076103500761,1.0,0.9988757848670712,0.9994378924335356,0.1869980060448583,0.0676470588235294
out_psiblast_C_1_swissprot_1iterations.xml,124.0,0.9998173668196292,0.1774193548387097,0.9565217391304348,0.9998191325811376,0.9781704358557862,0.4119122289614729,0.2993197278911564
out_psiblast_C_1_swissprot_2iterations.xml,513.0,0.9991311625399842,0.0448343079922027,1.0,0.9991311271054653,0.9995655635527326,0.2116491263323406,0.085820895522388
out_psiblast_C_1_swissprot_3iterations.xml,600.0,0.9989768995623896,0.0383333333333333,1.0,0.9989768578364356,0.9994884289182178,0.1956888164503277,0.0738362760834671
out_psiblast_C_3_denoised1_uniref90_1iterations.xml,287.0,0.9995283453788486,0.0766550522648083,0.9565217391304348,0.9995300993529556,0.9780259192416952,0.2707111146077336,0.1419354838709677
out_psiblast_C_4_denoised1_uniref90_1iterations.xml,222.0,0.999643599327626,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663328,0.3078207300207466,0.1795918367346938
out_psiblast_C_4_uniref90_1iterations.xml,222.0,0.999643599327626,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663328,0.3078207300207466,0.1795918367346938
out_psiblast_M_1.xml,270.0,0.9995620349946452,0.0851851851851851,1.0,0.9995620171327548,0.9997810085663774,0.2918010889861979,0.1569965870307167
out_psiblast_M_3_uniref90_1iterations.xml,121.0,0.9998226862326498,0.1818181818181818,0.9565217391304348,0.9998244522111042,0.9781730956707696,0.4169885245436662,0.3055555555555556
out_psiblast_M_3_uniref90_2iterations.xml,514.0,0.9991258431269636,0.0428015564202334,0.9565217391304348,0.9991275806854876,0.9778246599079612,0.202241395951683,0.0819366852886405
out_psiblast_M_4_denoised1_uniref90_1iterations.xml,88.0,0.9998811997758754,0.25,0.9565217391304348,0.9998829681407362,0.9782023536355856,0.4889779961469861,0.3963963963963964
out_psiblast_M_4_uniref90_1iterations.xml,81.0,0.99989361173959,0.2716049382716049,0.9565217391304348,0.999895380610658,0.9782085598705464,0.5096723620781863,0.4230769230769231
out_psiblast_O_1.xml,174.0,0.9997322562113012,0.132183908045977,1.0,0.999732245291684,0.999866122645842,0.3635223723269781,0.233502538071066
out_psiblast_O_3_uniref90_1iterations.xml,245.0,0.9996028171611356,0.0897959183673469,0.9565217391304348,0.9996045741724872,0.978063156651461,0.2930094611063365,0.1641791044776119
out_psiblast_O_3_uniref90_2iterations.xml,597.0,0.9989786727000632,0.0368509212730318,0.9565217391304348,0.9989804042564132,0.977751071693424,0.187641781674437,0.0709677419354838
out_psiblast_O_4_denoised1_uniref90_1iterations.xml,230.0,0.9996294142262382,0.0956521739130434,0.9565217391304348,0.99963117232232,0.9780764557263774,0.3024176061199045,0.1739130434782608
out_psiblast_O_4_uniref90_1iterations.xml,225.0,0.9996382799146056,0.0977777777777777,0.9565217391304348,0.999640038372264,0.9780808887513496,0.3057608178251944,0.1774193548387097
